id,owner,datetaken,latitude,longitude,title,accuracy,views
8918787381,74212514@N04,2010-01-10 15:50:46,44.354492,-68.051204,Acadia National Park,12.0,793
29498596186,74212514@N04,2010-01-10 16:03:20,44.354492,-68.051204,Maine - Acadia National Park,12.0,5829
8919396564,74212514@N04,2010-01-10 16:15:59,44.354492,-68.051204,DSC03484,12.0,55
8918780331,74212514@N04,2010-01-10 16:31:06,44.354492,-68.051204,DSC03491,12.0,57
8918778905,74212514@N04,2010-01-10 16:42:40,44.354492,-68.051204,DSC03498,12.0,67
8919392036,74212514@N04,2010-01-10 16:54:03,44.354492,-68.051204,DSC03512,12.0,53
8919389732,74212514@N04,2010-01-10 16:54:21,44.354492,-68.051204,Acadia NP,12.0,124
8918772717,74212514@N04,2010-01-10 18:08:41,44.354492,-68.051204,Acadia,12.0,166
8919384782,74212514@N04,2010-01-10 18:25:49,44.354492,-68.051204,DSC03560,12.0,37
6893141366,76543445@N04,2010-02-13 14:37:05,44.367343,-68.076546,Kitchen Counter Coastline,15.0,18
7025664065,76543445@N04,2010-02-13 14:37:43,44.288837,-68.232994,Lookout Below,12.0,10
6129417072,33768983@N04,2010-02-18 17:02:26,44.388809,-68.211456,"Thunder Hole, Acadia National Park",11.0,36
8402914242,19556842@N08,2010-04-26 06:58:30,44.353314,-68.251876,Eagle Lake,10.0,64
8402915170,19556842@N08,2010-04-26 07:05:49,44.353314,-68.251876,Eagle Lake,10.0,45
8402916288,19556842@N08,2010-04-29 08:40:24,44.353314,-68.251876,Otter Point,10.0,67
8402917894,19556842@N08,2010-04-29 15:41:26,44.353314,-68.251876,On Jordan Pond,10.0,51
6814704656,75772270@N07,2010-05-15 02:47:37,44.388809,-68.211456,Arcadia National Park,11.0,333
42174505281,14175138@N08,2010-05-25 07:37:52,44.371477,-68.24913,Acadia National Park | Maine,11.0,504
42174505141,14175138@N08,2010-05-25 07:38:34,44.371477,-68.24913,Acadia National Park | Maine,11.0,584
6477613105,30384039@N06,2010-05-25 16:05:34,44.391107,-68.205013,Bar Harbor 1,13.0,17
4746083699,29343043@N00,2010-05-28 15:35:28,44.222336,-68.337237,"Bass Harbor Head Lighthouse at Low Tide, Maine (ME) (DSF_3408)",16.0,613
7694169062,64612868@N04,2010-05-29 18:04:59,44.388809,-68.211456,Maine Lobster Boats,11.0,165
8321924593,58174648@N00,2010-05-29 18:15:43,44.320409,-68.266296,"Acadia National Park, MN, USA",10.0,273
4746080769,29343043@N00,2010-05-30 11:23:40,44.362822,-68.208009,Birch Log (DSF_3659),16.0,367
4746090017,29343043@N00,2010-05-31 12:01:49,44.390997,-68.375917,Indian Point Blagden Preserve (DSF_3922),16.0,293
8123561680,28199329@N05,2010-06-01 11:03:46,44.338583,-68.046741,,16.0,336
4746092347,29343043@N00,2010-06-02 16:02:37,44.392361,-68.204428,Bar Harbor - Rusty Lobster Boat (DSF_4401),16.0,413
4746095321,29343043@N00,2010-06-03 13:43:51,44.399477,-68.023439,Prospect Harbor in Fog (DSF_4491),16.0,312
5897375837,64771187@N07,2010-06-05 16:02:15,44.388809,-68.211456,,16.0,14
5897951252,64771187@N07,2010-06-08 00:08:31,44.388809,-68.211456,Waterfall,11.0,11
5897369453,64771187@N07,2010-06-08 00:48:55,44.388809,-68.211456,,16.0,5
6878136091,58810308@N06,2010-06-08 20:36:10,44.292646,-68.273574,Acadia,10.0,452
8209885341,47859749@N03,2010-06-11 11:50:58,44.160819,-68.28035,Atlantic Puffins,16.0,28
6889839388,54699723@N06,2010-06-12 02:14:27,44.388809,-68.211456,Bar Harbor,11.0,413
