index,id,owner,datetaken,latitude,longitude,title,accuracy,views,Cluster
6,38784602561,64964567@N00,2010-01-29 11:58:50,37.744147,-119.58988899999999,Winter:  Yosemite National Park: Yosemite Falls 02,16.0,457,20
7,38067175464,64964567@N00,2010-01-29 12:07:45,37.743444000000004,-119.589681,Winter:  Yosemite National Park,16.0,376,20
8,38067167694,64964567@N00,2010-01-29 13:30:22,37.744572,-119.584432,Winter:  Yosemite National Park - Mule Deer Buck,16.0,507,18
9,23919352207,64964567@N00,2010-01-29 14:23:14,37.750008,-119.59563100000001,Winter:  Yosemite National Park,16.0,347,19
10,38783821091,64964567@N00,2010-01-29 14:25:10,37.749790999999995,-119.595867,Winter:  Yosemite National Park - Yosemite Falls 03 (Lower Yosemite Falls),16.0,489,19
11,37897845825,64964567@N00,2010-01-29 16:18:51,37.717559,-119.66179299999999,Winter:  Yosemite National Park - Sunrise along the Merced River,16.0,910,13
12,24910930818,64964567@N00,2010-01-29 16:54:19,37.715663,-119.676895,Winter:  Yosemite National Park - Winter Sunset 01,16.0,901,11
13,27008653459,64964567@N00,2010-01-29 17:04:56,37.715663,-119.676895,Winter:  Yosemite National Park,16.0,497,11
48,49997712787,54021454@N05,2010-04-01 00:00:00,37.715703999999995,-119.676153,"Yosemite National Park, California, USA ヨセミテ国立公園、カリフォルニア州、アメリカ合衆国",15.0,964,11
49,50632522957,54021454@N05,2010-04-01 00:00:00,37.715703999999995,-119.676153,"Yosemite National Park, California, USA ヨセミテ国立公園、カリフォルニア州、アメリカ合衆国",15.0,842,11
54,39284105884,42152648@N06,2010-06-01 21:44:20,37.71618,-119.664845,West face of El Capitan. Yosemite National Park (California),14.0,1067,13
62,4663931136,8398907@N02,2010-06-02 10:11:53,37.727755,-119.576182,"Glacier Point, Yosemite National Park",14.0,3931,14
63,50309414281,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,17,18
64,50308742988,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,12,18
65,50308743473,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,11,18
66,50308743023,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,11,18
67,50308741198,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,18,18
68,50309414191,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,24,18
69,50309581767,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,23,18
70,50309581467,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,20,18
71,49339276462,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,John Macs Photo Portfolio Images.,16.0,17,18
72,50309584917,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,10,18
73,50308743878,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,10,18
74,50309584582,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,11,18
75,50309584462,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,10,18
76,50309583117,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,12,18
77,50309416406,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,9,18
78,50308740868,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,19,18
79,50309583662,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,11,18
80,50309581547,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,19,18
81,50308740473,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,25,18
82,50309570592,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,12,18
83,50308742948,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,11,18
84,50309582522,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,12,18
85,49339056821,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,John Macs Photo Portfolio Images.,16.0,18,18
86,50308741733,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,12,18
87,50308742003,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,11,18
88,50309415126,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,13,18
89,50308742258,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,13,18
90,50309582307,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,16,18
91,50309583522,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,11,18
92,50309583362,62634671@N08,2010-06-04 12:00:00,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,12,18
93,50309413046,62634671@N08,2010-06-04 12:00:02,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,32,18
94,50309412881,62634671@N08,2010-06-04 12:00:02,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,44,18
95,50309412791,62634671@N08,2010-06-04 12:00:06,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,49,18
96,50309412596,62634671@N08,2010-06-04 12:00:08,37.744786,-119.583831,"Yosemite National Park, California,  USA - Over The Years.",16.0,66,18
100,5980127297,62831368@N08,2011-01-01 13:20:09,37.715331,-119.649353,Ahwahnee Dining Room,10.0,3,12
101,5980127521,62831368@N08,2011-01-01 13:21:51,37.715331,-119.649353,Ahwahnee Dining Room,10.0,4,12
102,5980686790,62831368@N08,2011-01-01 13:21:58,37.715331,-119.649353,Ahwahnee Dining Room,10.0,4,12
103,5980687022,62831368@N08,2011-01-01 13:22:33,37.715331,-119.649353,Ahwahnee Dining Room,10.0,4,12
104,5980687246,62831368@N08,2011-01-01 13:25:13,37.715331,-119.649353,Ahwahnee Dining Room,10.0,3,12
105,5980687414,62831368@N08,2011-01-01 13:25:17,37.715331,-119.649353,Ahwahnee Dining Room,10.0,2,12
106,5980128621,62831368@N08,2011-01-01 13:26:04,37.715331,-119.649353,Ahwahnee Dining Room,10.0,4,12
